,task,avg_length,max_length
91,language_identific,208.79675,3438
101,movie_dialog_same_or_diff,138.994,1741
95,undo_permut,162.75416666666666,848
1,real_or_fake_text,451.9425287356322,643
27,which_wiki_edit,345.2,609
24,checkmate_in_one,317.1970443349754,598
75,identify_math_theorems,233.58252427184465,570
3,play_dialog_same_or_different,241.90686274509804,538
87,ka,272.7826086956522,520
83,metaphor_understa,132.81382978723406,513
46,understanding_fables,214.96059113300493,469
12,question_selection,247.07766990291262,468
89,medical_questions_ru,225.11219512195123,452
56,gre_reading_comprehension,271.69117647058823,426
62,symbol_interpretation,329.3137254901961,399
41,discourse_marker_prediction,261.34328358208955,384
54,timedial,172.49019607843138,358
100,key_value,296.775,349
20,code_line_description,152.1822660098522,344
40,hhh_alignment,156.86829268292684,324
34,evaluating_information_essentiality,201.66666666666666,309
17,penguins_in_a_table,142.69306930693068,283
66,contextual_parametric_knowledge_conflicts,142.35467980295567,283
47,international_phonetic_alphabet_nli,169.04901960784315,271
105,formal_fallacies_syllogisms_neg,146.6661971830986,267
14,salient_translation_error_detection,227.57766990291262,266
2,implicit_relations,136.2107843137255,259
64,geometric_shapes,125.98048780487805,251
29,intersect_geometry,178.36138613861385,250
8,temporal_sequences,206.88725490196077,247
79,strange_stories,153.28571428571428,241
74,vitaminc_fact_verification,126.52195121951219,240
55,tracking_shuffled_objects,148.26341463414633,240
71,suicide_risk,117.97549019607843,224
97,entailed_polarity_,164.53153153153153,219
53,physics,148.06435643564356,208
39,conceptual_combinations,120.68627450980392,201
58,elementary_math_qa,91.63725490196079,195
92,logical_seq,98.17391304347827,191
80,abstract_narrative_understanding,132.9658536585366,185
72,simple_ethical_questions,111.24630541871922,179
0,english_russian_proverbs,135.51960784313727,170
25,swahili_english_proverbs,121.72549019607843,162
102,english_pro,128.94444444444446,157
81,hinglish_toxicity,53.18627450980392,157
68,bbq_lite_json,79.33333333333333,156
13,causal_judgment,72.71144278606965,156
22,persian_idioms,93.36764705882354,152
70,disambiguation_qa,108.66666666666667,148
86,mathematical_indu,71.45283018867924,146
42,cryobiology_spanish,100.26470588235294,146
28,identify_odd_metaphor,110.5615763546798,145
85,wi,75.34323144104803,142
48,presuppositions_as_nli,109.73762376237623,140
26,goal_step_wikihow,69.08823529411765,139
31,what_is_the_tao,69.46534653465346,134
93,dark_humor_dete,87.5625,132
7,rhyming,50.07281553398058,132
96,unit_interpret,107.4375,128
88,swedish_to_german_pro,98.76785714285714,128
32,emoji_movie,82.76470588235294,126
82,physical_intu,69.58461538461539,125
84,intent_recogn,94.51351351351352,119
23,ruin_names,71.56372549019608,116
94,metaphor_bo,79.46139705882354,114
99,movie_recommend,76.315,113
10,empirical_judgments,64.44776119402985,112
16,social_iqa,72.37864077669903,111
33,crass_ai,93.28921568627452,111
59,cs_algorithms,53.34825870646766,108
5,color,91.31155778894473,104
60,strategyqa,62.72906403940887,102
35,navigate,75.57142857142857,102
73,arithmetic,73.68627450980392,99
6,epistemic_reasoning,65.68316831683168,98
38,novel_concepts,82.98019801980197,97
36,social_support,67.48756218905473,96
52,fantasy_reasoning,45.206896551724135,94
104,irony_identific,71.6875,90
77,general_knowledge,58.56218905472637,88
78,reasoning_about_colored_objects,50.377450980392155,87
49,riddle_sense,62.25870646766169,86
15,emojis_emotion_prediction,52.24878048780488,84
30,cause_and_effect,56.03414634146341,83
18,snarks,57.50485436893204,82
76,phrase_relatedness,61.3235294117647,81
37,date_understanding,62.18316831683168,79
103,crash_bl,67.54545454545455,77
98,hyper,46.5767,73
21,implicatures,61.504901960784316,72
44,analytic_entailment,56.770731707317076,72
69,hindu_knowledge,40.935960591133004,71
51,sports_understanding,53.970443349753694,70
9,common_morpheme,56.85643564356435,69
61,similarities_abstraction,58.01951219512195,68
45,human_organs_senses,45.87623762376238,65
11,unit_conversion,34.76237623762376,64
43,dyck_languages,41.445544554455445,60
67,fact_checker,46.554455445544555,58
4,entailed_polarity,41.17326732673267,55
65,nonsense_words_grammar,38.66829268292683,55
50,figure_of_speech_detection,45.21590909090909,54
19,anachronisms,41.985365853658536,53
63,periodic_elements,31.814634146341465,51
90,sentence_ambi,31.454545454545453,44
57,odd_one_out,32.19607843137255,41
