,task,description
0,indic_cause_and_effect,Answer multiple-choice questions distinguishing cause and effect in Indic languages
1,english_russian_proverbs,"For a given proverb in English, choose a proverb in Russian which is closest in meaning"
2,real_or_fake_text,Determine the sentence at which a document transitions from human written to machine generated
3,authorship_verification,Identify which of the text passages given as choices was written by the same author as the text passage given as the reference
4,analogical_similarity,Identify the type of analogy between two events
5,implicit_relations,Determine the relation between people described in context
6,play_dialog_same_or_different,Determine if nearby lines in a Shakespeare play were spoken by the same individual
7,entailed_polarity,Infer the entailed polarity
8,color,"Identify the color specified by the given RGB, HEX, HSL, or HCL encoding"
9,epistemic_reasoning,Determine whether one sentence entails the next
10,rhyming,Rhyming-related tasks
11,minute_mysteries_qa,"Given short crime stories, identify the perpetrator and explain the reasoning behind the deduction"
12,temporal_sequences,Answer questions about which times certain events could have occurred
13,common_morpheme,Determine the meaning of the shared morpheme among the given words
14,empirical_judgments,Distinguish between causal and correlative empirical judgements
15,unit_conversion,"Perform various tasks relating to units, including identification and conversion"
16,question_selection,"Given a short answer along with its context, select the most appropriate question which has the given short answer as its answer"
17,kanji_ascii,Identify an object using the ASCII arts of various kanji
18,parsinlu_qa,Answer multiple-choice questions in Persian
19,causal_judgment,Answer questions about causal attribution
20,salient_translation_error_detection,Detect the type of error in an English translation of a German source sentence
21,emojis_emotion_prediction,Predict the emotion of a given emoji
22,social_iqa,"Answer questions about the motivations, emotional reactions, and preceding and following events surrounding interpersonal situations"
23,penguins_in_a_table,Answer questions about a table of penguins and their attributes
24,snarks,Determine which of two sentences is sarcastic
25,anachronisms,Identify whether a given statement contains an anachronism
26,code_line_description,Give an English language description of Python code
27,implicatures,Predict whether Speaker 2's answer to Speaker 1 counts as a yes or as a no
28,persian_idioms,Identify the literal meaning of Persian idioms.
29,ruin_names,Select the humorous edit that 'ruins' the input movie or musical artist name
30,checkmate_in_one,Find a move in the chess position resulting in checkmate
31,swahili_english_proverbs,"For a given proverb in Kiswahili, choose a proverb in English which is closest in meaning"
32,goal_step_wikihow,"Perform one of three subtasks: step inference, goal inference, or step ordering"
33,which_wiki_edit,Match a recent Wikipedia revision to its corresponding edit message
34,identify_odd_metaphor,Select the sentence where the metaphorical language used about a given topic could not be applied to another specified topic
35,intersect_geometry,Find the number of intersection points between the shapes and lines specified by the given coordinates
36,cause_and_effect,Answer multiple-choice questions distinguishing cause and effect
37,misconceptions_russian,Identify misconceptions in Russian
38,what_is_the_tao,Compare the stylistic elements of different translations of a complex philosophical text
39,emoji_movie,Guess popular movies from their emoji descriptions
40,crass_ai,Predict effects of causal events in counterfactual situations
41,moral_permissibility,Evaluate if AI makes moral permissibility judgments similar to human
42,known_unknowns,A test of 'hallucinations' by asking questions whose answers are known to be unknown
43,evaluating_information_essentiality,Identify statements that are essential to answer a question
44,navigate,"Given a series of navigation instructions, determine whether one would end up back at the starting point"
45,social_support,The task aims to measure the ability of pre-trained models on understanding supportive (and unsupportive) language uses
46,date_understanding,Infer the date from context
47,logic_grid_puzzle,Solve logic grid puzzles
