,mc_task
0,abstract_narrative_understanding
1,anachronisms
2,analogical_similarity
3,analytic_entailment
4,arithmetic
5,authorship_verification
6,bbq_lite
7,bbq_lite_json
8,bias_from_probabilities
9,boolean_expressions
10,causal_judgment
11,cause_and_effect
12,checkmate_in_one
13,cifar10_classification
14,code_line_description
15,color
16,com2sense
17,common_morpheme
18,conceptual_combinations
19,context_definition_alignment
20,contextual_parametric_knowledge_conflicts
21,convinceme
22,crash_blossom
23,crass_ai
24,cryobiology_spanish
25,cs_algorithms
26,dark_humor_detection
27,date_understanding
28,disambiguation_qa
29,discourse_marker_prediction
30,diverse_social_bias
31,dyck_languages
32,dynamic_counting
33,elementary_math_qa
34,emoji_movie
35,emojis_emotion_prediction
36,empirical_judgments
37,english_proverbs
38,english_russian_proverbs
39,entailed_polarity
40,entailed_polarity_hindi
41,epistemic_reasoning
42,evaluating_information_essentiality
43,fact_checker
44,factuality_of_summary
45,fantasy_reasoning
46,figure_of_speech_detection
47,forecasting_subquestions
48,formal_fallacies_syllogisms_negation
49,gender_sensitivity_chinese
50,gender_sensitivity_english
51,general_knowledge
52,geometric_shapes
53,goal_step_wikihow
54,gre_reading_comprehension
55,hhh_alignment
56,hindu_knowledge
57,hinglish_toxicity
58,human_organs_senses
59,hyperbaton
60,identify_math_theorems
61,identify_odd_metaphor
62,implicatures
63,implicit_relations
64,indic_cause_and_effect
65,intent_recognition
66,international_phonetic_alphabet_nli
67,intersect_geometry
68,irony_identification
69,kanji_ascii
70,kannada
71,key_value_maps
72,known_unknowns
73,language_identification
74,logic_grid_puzzle
75,logical_args
76,logical_deduction
77,logical_fallacy_detection
78,logical_sequence
79,long_context_integration
80,mathematical_induction
81,medical_questions_russian
82,metaphor_boolean
83,metaphor_understanding
84,minute_mysteries_qa
85,misconceptions
86,misconceptions_russian
87,mnist_ascii
88,moral_permissibility
89,movie_dialog_same_or_different
90,movie_recommendation
91,multiemo
92,navigate
93,nonsense_words_grammar
94,novel_concepts
95,odd_one_out
96,parsinlu_qa
97,penguins_in_a_table
98,periodic_elements
99,persian_idioms
100,phrase_relatedness
101,physical_intuition
102,physics
103,play_dialog_same_or_different
104,presuppositions_as_nli
105,protein_interacting_sites
106,question_answer_creation
107,question_selection
108,real_or_fake_text
109,reasoning_about_colored_objects
110,rhyming
111,riddle_sense
112,ruin_names
113,salient_translation_error_detection
114,self_awareness
115,self_evaluation_courtroom
116,self_evaluation_tutoring
117,sentence_ambiguity
118,similarities_abstraction
119,simple_arithmetic_json_multiple_choice
120,simple_ethical_questions
121,snarks
122,social_iqa
123,social_support
124,sports_understanding
125,strange_stories
126,strategyqa
127,subject_verb_agreement
128,suicide_risk
129,swahili_english_proverbs
130,swedish_to_german_proverbs
131,symbol_interpretation
132,talkdown
133,temporal_sequences
134,timedial
135,tracking_shuffled_objects
136,training_on_test_set
137,truthful_qa
138,twenty_questions
139,understanding_fables
140,undo_permutation
141,unit_conversion
142,unit_interpretation
143,unqover
144,vitaminc_fact_verification
145,web_of_lies
146,what_is_the_tao
147,which_wiki_edit
148,wino_x_german
149,winowhy
