,task
0,abstract_narrative_understanding
1,abstraction_and_reasoning_corpus
2,anachronisms
3,analogical_similarity
4,analytic_entailment
5,arithmetic
6,ascii_word_recognition
7,authorship_verification
8,auto_categorization
9,auto_debugging
10,bbq_lite
11,bbq_lite_json
12,bias_from_probabilities
13,boolean_expressions
14,bridging_anaphora_resolution_barqa
15,causal_judgment
16,cause_and_effect
17,checkmate_in_one
18,chess_state_tracking
19,chinese_remainder_theorem
20,cifar10_classification
21,code_line_description
22,codenames
23,color
24,com2sense
25,common_morpheme
26,conceptual_combinations
27,conlang_translation
28,context_definition_alignment
29,contextual_parametric_knowledge_conflicts
30,convinceme
31,coqa_conversational_question_answering
32,crash_blossom
33,crass_ai
34,cryobiology_spanish
35,cryptonite
36,cs_algorithms
37,cycled_letters
38,dark_humor_detection
39,date_understanding
40,disambiguation_qa
41,discourse_marker_prediction
42,disfl_qa
43,diverse_social_bias
44,dyck_languages
45,dynamic_counting
46,elementary_math_qa
47,emoji_movie
48,emojis_emotion_prediction
49,empirical_judgments
50,english_proverbs
51,english_russian_proverbs
52,entailed_polarity
53,entailed_polarity_hindi
54,epistemic_reasoning
55,evaluating_information_essentiality
56,fact_checker
57,factuality_of_summary
58,fantasy_reasoning
59,few_shot_nlg
60,figure_of_speech_detection
61,forecasting_subquestions
62,formal_fallacies_syllogisms_negation
63,gem
64,gender_inclusive_sentences_german
65,gender_sensitivity_chinese
66,gender_sensitivity_english
67,general_knowledge
68,geometric_shapes
69,goal_step_wikihow
70,gre_reading_comprehension
71,hhh_alignment
72,high_low_game
73,hindi_question_answering
74,hindu_knowledge
75,hinglish_toxicity
76,human_organs_senses
77,hyperbaton
78,identify_math_theorems
79,identify_odd_metaphor
80,implicatures
81,implicit_relations
82,indic_cause_and_effect
83,intent_recognition
84,international_phonetic_alphabet_nli
85,international_phonetic_alphabet_transliterate
86,intersect_geometry
87,irony_identification
88,kanji_ascii
89,kannada
90,key_value_maps
91,known_unknowns
92,language_games
93,language_identification
94,linguistic_mappings
95,linguistics_puzzles
96,list_functions
97,logic_grid_puzzle
98,logical_args
99,logical_deduction
100,logical_fallacy_detection
101,logical_sequence
102,long_context_integration
103,mathematical_induction
104,matrixshapes
105,medical_questions_russian
106,metaphor_boolean
107,metaphor_understanding
108,minute_mysteries_qa
109,misconceptions
110,misconceptions_russian
111,mnist_ascii
112,modified_arithmetic
113,moral_permissibility
114,movie_dialog_same_or_different
115,movie_recommendation
116,mult_data_wrangling
117,multiemo
118,multistep_arithmetic
119,muslim_violence_bias
120,natural_instructions
121,navigate
122,nonsense_words_grammar
123,novel_concepts
124,object_counting
125,odd_one_out
126,operators
127,paragraph_segmentation
128,parsinlu_qa
129,parsinlu_reading_comprehension
130,penguins_in_a_table
131,periodic_elements
132,persian_idioms
133,phrase_relatedness
134,physical_intuition
135,physics
136,physics_questions
137,play_dialog_same_or_different
138,polish_sequence_labeling
139,presuppositions_as_nli
140,program_synthesis
141,protein_interacting_sites
142,python_programming_challenge
143,qa_wikidata
144,question_answer_creation
145,question_selection
146,real_or_fake_text
147,reasoning_about_colored_objects
148,repeat_copy_logic
149,rephrase
150,rhyming
151,riddle_sense
152,roots_optimization_and_games
153,ruin_names
154,salient_translation_error_detection
155,scientific_press_release
156,self_awareness
157,self_evaluation_courtroom
158,self_evaluation_tutoring
159,semantic_parsing_in_context_sparc
160,semantic_parsing_spider
161,sentence_ambiguity
162,similarities_abstraction
163,simp_turing_concept
164,simple_arithmetic
165,simple_arithmetic_json
166,simple_arithmetic_json_multiple_choice
167,simple_arithmetic_json_subtasks
168,simple_arithmetic_multiple_targets_json
169,simple_ethical_questions
170,simple_text_editing
171,snarks
172,social_iqa
173,social_support
174,spelling_bee
175,sports_understanding
176,squad_shifts
177,strange_stories
178,strategyqa
179,subject_verb_agreement
180,sudoku
181,sufficient_information
182,suicide_risk
183,swahili_english_proverbs
184,swedish_to_german_proverbs
185,symbol_interpretation
186,taboo
187,talkdown
188,tellmewhy
189,temporal_sequences
190,tense
191,text_navigation_game
192,timedial
193,topical_chat
194,tracking_shuffled_objects
195,training_on_test_set
196,truthful_qa
197,twenty_questions
198,understanding_fables
199,undo_permutation
200,unit_conversion
201,unit_interpretation
202,unnatural_in_context_learning
203,unqover
204,vitaminc_fact_verification
205,web_of_lies
206,what_is_the_tao
207,which_wiki_edit
208,wino_x_german
209,winowhy
210,word_problems_on_sets_and_graphs
211,word_sorting
212,word_unscrambling
213,yes_no_black_white
