,task,task_size,unique_indeces
0,cs_algorithms,1056,800
1,bbq_lite_json,12866,1600
2,english_russian_proverbs,64,64
3,disambiguation_qa,207,207
4,date_understanding,296,296
5,hhh_alignment,179,49
6,timedial,2040,2040
7,known_unknowns,30,30
8,logical_fallacy_detection,2240,2240
9,crass_ai,28,28
10,minute_mysteries_qa,383,220
11,physics,184,184
12,logic_grid_puzzle,800,800
13,fantasy_reasoning,161,161
14,common_morpheme,34,34
15,geometric_shapes,288,288
16,intersect_geometry,50000,30473
17,tracking_shuffled_objects,3000,1400
18,odd_one_out,69,69
19,navigate,800,800
20,moral_permissibility,274,274
21,epistemic_reasoning,1600,1600
22,play_dialog_same_or_different,2612,2612
23,reasoning_about_colored_objects,1600,1600
24,novel_concepts,16,16
25,which_wiki_edit,457,457
26,emoji_movie,80,80
27,swahili_english_proverbs,123,123
28,indic_cause_and_effect,468,52
29,figure_of_speech_detection,43,43
30,analogical_similarity,259,259
31,misconceptions_russian,33,33
32,causal_judgment,152,152
33,riddle_sense,33,33
34,implicit_relations,68,68
35,sports_understanding,789,789
36,presuppositions_as_nli,588,588
37,implicatures,394,394
38,unit_conversion,19151,2400
39,similarities_abstraction,60,60
40,social_iqa,1548,1548
41,periodic_elements,524,429
42,general_knowledge,54,54
43,identify_odd_metaphor,31,31
44,hinglish_toxicity,160,160
45,dyck_languages,800,800
46,identify_math_theorems,37,37
47,nonsense_words_grammar,34,34
48,social_support,718,718
49,misconceptions,176,176
50,parsinlu_qa,840,840
51,simple_ethical_questions,92,92
52,vitaminc_fact_verification,43735,43735
53,temporal_sequences,800,800
54,code_line_description,44,44
55,snarks,145,145
56,goal_step_wikihow,5643,2480
57,analytic_entailment,54,54
58,strange_stories,140,97
59,question_selection,1266,1266
60,kanji_ascii,875,724
61,checkmate_in_one,2799,2799
62,penguins_in_a_table,120,120
63,persian_idioms,50,50
64,cause_and_effect,123,41
65,what_is_the_tao,20,20
66,rhyming,763,544
67,evaluating_information_essentiality,52,52
68,ruin_names,359,359
69,anachronisms,184,184
70,real_or_fake_text,12072,7639
71,understanding_fables,152,152
72,fact_checker,5724,5290
73,arithmetic,12019,800
74,strategyqa,1832,1832
75,conceptual_combinations,84,32
76,entailed_polarity,119,119
77,authorship_verification,704,352
78,gre_reading_comprehension,15,15
79,phrase_relatedness,80,80
80,abstract_narrative_understanding,2400,800
81,emojis_emotion_prediction,105,105
82,discourse_marker_prediction,686,686
83,hindu_knowledge,140,140
84,logical_deduction,1200,560
85,empirical_judgments,80,80
86,cryobiology_spanish,117,117
87,logical_args,16,16
88,salient_translation_error_detection,799,799
89,human_organs_senses,26,26
90,symbol_interpretation,795,159
91,international_phonetic_alphabet_nli,101,101
92,elementary_math_qa,30531,6151
93,color,3200,800
94,contextual_parametric_knowledge_conflicts,14023,14023
95,suicide_risk,24,24
